player_id,first_name,last_name,country,dob,turned_pro,weight,height,birth_city,birth_country,hand,backhand,coach
m273,Gardnar,Mulloy,USA,19131122.0,,,185.0,Miami,USA,right-handed,unknown backhand,
s246,Pancho,Segura,ECU,19210620.0,,,168.0,Guayaquil,Ecuador,right-handed,unknown backhand,
s248,Frank,Sedgman,AUS,19271002.0,,,180.0,Mt. Albert,Australia,right-handed,unknown backhand,
m276,Giuseppe,Merlo,ITA,19271011.0,,,,Merano,,right-handed,unknown backhand,
,Richard,Gonzalez,USA,19280509.0,,,188.0,,,right-handed,unknown backhand,
g185,Grant,Golden,USA,19290821.0,,68.0,175.0,Chicago,USA,right-handed,unknown backhand,
s242,Abe,Segal,RSA,19301023.0,,,,Johannesburg,South Africa,left-handed,unknown backhand,
n088,Kurt,Nielsen,DEN,19301119.0,,,,Copenhagen,,right-handed,unknown backhand,
g151,Istvan,Gulyas,HUN,19311014.0,,,,Pecs,Hungary,right-handed,unknown backhand,
a073,Luis,Ayala,CHI,19320918.0,,,170.0,Santiago,,right-handed,unknown backhand,
u011,Torben,Ulrich,DEN,19281004.0,,,180.0,Copenhagen,Denmark,left-handed,unknown backhand,
p141,Nicola,Pietrangeli,ITA,19330911.0,,,178.0,Tunis,Tunsia,right-handed,unknown backhand,
f113,Neale,Fraser,AUS,19331003.0,,,185.0,Melbourne,Australia,left-handed,unknown backhand,
f135,Trevor,Fancutt,RSA,19340714.0,,,,Kokstad,South Africa,right-handed,unknown backhand,
g013,Sammy,Giammalva,USA,19630324.0,,75.0,178.0,Houston,TX,right-handed,unknown backhand,
r075,Ken,Rosewall,AUS,19341102.0,,61.0,170.0,Sydney,Australia,right-handed,unknown backhand,
a060,Mal,Anderson,AUS,19350303.0,,,,Theodore,Australia,right-handed,unknown backhand,
m294,Barry,Mackay,USA,19350831.0,,85.0,191.0,Cincinnati,USA,right-handed,unknown backhand,
g152,Wieslaw,Gasiorek,POL,19360113.0,,,,Poznan,Poland,right-handed,unknown backhand,
o042,Alejandro,Olmedo,USA,19360324.0,,,178.0,Arequipa,Peru,right-handed,unknown backhand,
c229,Ashley,Cooper,AUS,19360915.0,,,178.0,Melbourne,Australia,right-handed,unknown backhand,Harry Hopman
e030,Roy,Emerson,AUS,19361103.0,,79.0,183.0,Blackbutt,Australia,right-handed,unknown backhand,
k103,Ramanathan,Krishnan,IND,19370411.0,,,,Madras,India,right-handed,unknown backhand,
,Jan Erik,Lundquist,SWE,19370414.0,,,191.0,,,right-handed,unknown backhand,
p078,Barry,Phillips Moore,AUS,19370709.0,,68.0,173.0,Adelaide,Australia,right-handed,unknown backhand,
g075,Andres,Gimeno,ESP,19370803.0,1960.0,89.0,185.0,Barcelona,Spain,right-handed,unknown backhand,
s210,Gene,Scott,USA,19371228.0,1968.0,77.0,185.0,New York,USA,right-handed,unknown backhand,
s245,Manuel,Santana,ESP,19380510.0,,,170.0,,,right-handed,unknown backhand,
l058,Rod,Laver,AUS,19380809.0,,68.0,173.0,Rockhampton,Australia,left-handed,unknown backhand,
s129,Fred,Stolle,AUS,19381008.0,1966.0,93.0,191.0,Hornsby NSW,Australia,right-handed,unknown backhand,
s241,Dimitri,Sturdza,SUI,19381110.0,,,,Jassy,Romania,right-handed,unknown backhand,
,Patricio,Rodriguez Chi,CHI,19381220.0,,,188.0,,,right-handed,unknown backhand,
b237,Wilhelm,Bungert,GER,19390401.0,,82.0,188.0,Mannheim,Germany,right-handed,unknown backhand,
k138,Christian,Kuhnke,GER,19390413.0,,,,,,right-handed,unknown backhand,
t040,Ion,Tiriac,ROU,19390509.0,,,185.0,,,right-handed,unknown backhand,
h098,Rudy,Hernando,USA,19390610.0,,,,Detroit,USA,right-handed,unknown backhand,
p080,Nikola,Pilic,CRO,19390827.0,,,191.0,Split,Yugoslavia,left-handed,unknown backhand,
p067,Jaime,Pinto Bravo,CHI,19391009.0,,,178.0,,,right-handed,unknown backhand,
j033,Boro,Jovanovic,YUG,19391021.0,,,,Zagreb,Croatia,right-handed,unknown backhand,
h058,Bob,Hewitt,RSA,19400112.0,,93.0,191.0,Dubbo,Australia,right-handed,unknown backhand,
n097,Ned,Neely,USA,19400114.0,,,,Atlanta,USA,right-handed,unknown backhand,
m312,Ryoichi,Mori,JPN,19400114.0,,,,Nichinomiya City,Japan,right-handed,unknown backhand,
s144,Zdenek,Slizek,CZE,19400219.0,,,,,,right-handed,unknown backhand,
l119,Sergei,Likhachev,,19400320.0,,,,Baku,Soviet Union,right-handed,unknown backhand,
p142,John,Paish,GBR,19480325.0,,,,Croydon,England,left-handed,unknown backhand,
n098,Larry,Nagler,USA,19400701.0,,,,Roslyn Heights,USA,right-handed,unknown backhand,
c080,Bob,Carmichael,AUS,19400704.0,,82.0,183.0,Melbourne,Australia,right-handed,unknown backhand,
b228,Earl Butch,Buchholz,USA,19400916.0,,73.0,188.0,St. Louis,MO,right-handed,unknown backhand,
m144,Jim,Mcmanus,USA,19400916.0,1968.0,71.0,175.0,Oakland,U.S.A.,left-handed,unknown backhand,Tom Stow
